word,synonym,meaning,example,video,
chase,,to run after someone or something in order to catch them,The dog was chasing a rabbit,https://www.youtube.com/embed/XNQNFmp3Fs4,
Cheer,,to give a loud shout of approval or encouragement,Everyone cheered as the winners received their medals.,https://www.youtube.com/embed/RKRq2CZn2Hs,
Chew,,"to crush food into smaller, softer pieces with the teeth so that it can be swallowed",This meat is difficult to chew,,
clumsy,,"Clumsy people move in a way that is not controlled or careful enough, and often knock or damage things.",That's the third glass you've smashed this week - you're so clumsy!,https://www.youtube.com/embed/3eqA3x9-yQk,
Coincidence,,a striking occurrence of two or more events at one time apparently by mere chance,Our meeting in Venice was pure coincidence.,https://www.youtube.com/embed/uyFUACeXQhQ,
collapse,,"to fall or cave in , crumble suddenly",The roof collapsed and buried the crowd.,https://www.youtube.com/embed/QJuSMf89EFo,
Collocation,,"a word or phrase that sounds natural or correct when it is used with another word or phrase, or the combination formed when two or more words are frequently used together in a way that sounds natural",Heavy traffic' is a collocation.,https://www.youtube.com/embed/jjgbIcv4Iyo,
combine,,"to become mixed or joined, or to mix or join things together",My wages combined with your savings should just about pay for it.,https://www.youtube.com/embed/uc6ShjmNC-Y,
Command,,,,https://www.youtube.com/embed/H9RFbV3WlRk,
Comment,,to make a comment,My mum always comments on what I'm wearing.,https://www.youtube.com/embed/SRCV_mjSvaQ,
commit,,"to do something that is considered wrong, or that is illegal",He was sent to prison for a crime that he didn't commit.,https://www.youtube.com/embed/Jv2MIW4Syyo,
Communicative,,open and willing to talk to people,She's never very communicative in the morning.,https://www.youtube.com/embed/f5ExZxEWhH8,
Companion,,someone you spend a lot of time with or go somewhere with,Dan has been her constant companion these past ten years.,https://www.youtube.com/embed/QK96Xg9fDGo,
Compulsory,,"If something is compulsory, you must do it because of a rule or law.",Wearing seat belts in cars is compulsory by law.,https://www.youtube.com/embed/r1fqcKjNQlQ,
Concern,,to be important to someone or to involve someone directly,Matters of pollution and the environment concern us all.,https://www.youtube.com/embed/iGWb6ouYJWs,
go under the knife,,,"If a person goes under the knife, they have surgery. I'm not worried about the anesthetic.  I've been under the knife several times.",https://youtu.be/12fa6ZzvKAo?t=4s,
one foot in the grave,,A person who is either very old or very ill and close to death has onefoot in the grave.,It's no use talking to the owner.  The poor man has one foot in the grave.,,
out of sorts,,"If someone is out of sorts, they are upset and irritable or not feeling well.",The baby is out of sorts today.  Perhaps he's cutting a tooth.,https://youtu.be/iFU3cbbBMHs?t=2s,
have pins and needles,,"To have pins and needles is to have a tingling sensation in a part of the body,",I lay curled up for so long that I had pins and needles in my legs.,,
pop one's clogs,,This is a euphemistic way of saying that a person is dead.,Nobody lives in that house since old Roger popped his clogs.,https://youtu.be/5DcgbR52Y9s?t=2s,
prime of one's life,,The prime of one's life is the time in a person's life when they arein their best physical condition.,"At the age of 75, the singer is not exactly in the prime of his life!",,
pull through,,"If you pull through, you recover from a serious illness.",Doris had to undergo heart surgery but she pulled through.,https://youtu.be/wBplzoQ0-O8?t=6s,
racked with pain,,"When someone is suffering from severe pain, they are racked with pain.",The soldier was so badly injured that he was racked with pain.,,
recharge one's batteries,,"When you recharge your batteries, you take a break from a tiring or stressful activity in order to relax and recover your energy.",Sam is completely overworked. He needs a holiday to recharge his batteries.,,
right as rain,,"If someone is (as) right as rain, they are in excellent health or condition.","I called to see my  grandmother thinking she was ill, but she was right as rain.",https://youtu.be/x5VnV4_BzsI?t=1m12s,
run down,,A person who is run down is in poor physical condition.,She's completely run down from lack of proper food..,https://youtu.be/gsoSoKdgVwI?t=2s,
spare part surgery,,Spare-part surgery refers to surgery in which a diseased or non-functioning organ is replaced with a transplanted or artificial organ.,,,
Spare tyre,,"If a person has a spare tyre, they have a roll of flesh around the waist.",I'd better go on a diet - I'm getting a sparetyre!,,
take a turn for the worse,,"If a person who is ill takes a turn for the worse, their illness becomes more serious",We hoped he would recover but he took a turn for the worse during the night.,,
touch and go,,"If something is touch-and-go, the outcome or result is uncertain.","Dave's life is out of danger now, but it was touch-and-go after the operation.",,
under the weather,,"If you are under the weather, you are not feeling very well.",You look a bit under the weather.  What's the matter?,,
up and about,,"If someone is up and about, they are out of bed or have recovered after an illness.",She was kept in hospital for a week but she's up and about again.,,
vim and vigour,,"If you are full of vim and vigour, you have lots of vitality, energy and enthusiasm.","After a relaxing holiday, my parents came back full of vim and vigour.",,
blow hot and cold,,"If you blow hot and cold about something, you constantly change your opinion about it.","The boss keeps blowing hot and cold about the marketing campaign - one day he finds it excellent, the next day he wants to make changes.",,
chop and change,,".If you chop and change, you constantly change your opinion, plans or methods and often cause confusion.",Don't chop and change all the time - just make up your mind!,,
cough up,,"If you have to cough up something, such as money or information,  you give it reluctantly or unwillingly",He refused to say who attacked him until his father made him cough up the names.,,
drag one's feet,,"If you drag your feet, you delay a decision or participate without any real enthusiasm.",The government is dragging its feet on measures to reduce pollution.,,
get cold feet,,"If you get cold feet about something, you begin to hesitate about doing it , you are no longer sure whether you want to do it or not.",I wanted to enter the competition but at the last minute I got cold feet.,,
on the fence,,"When faced with a choice, a person who is on the fence has not yet reached a decision.",The candidates have such similar ideas that many electors are still on the fence.,,
half a mind,,"If you have half a mind to do something, you are thinking seriously about it but have not yet reached a decision.",I've half a mind to start up my own business but first I need some advice.,,
hem and haw,,"When someone hems and haws, they are very evasive and avoid giving a clear answer.",Bobby hemmed and hawed when his parents asked him where had spent the night.,,
jury is still out,,To say that the jury is still out means that something is under consideration but no decision has been reached yet.,The jury is still out as concerns the location of the new station.,,
left hanging in the air,,"If a problem or issue is left hanging in the air (or in mid-air), no decision has been taken so it remains without a solution.",No solution was proposed during the meeting so the question was left hanging in the air.,,
prod someone into doing,,"If you prod someone into doing something, you make a hesitant person do something that they are reluctant to do.","She was ideal for the job, but I had to prod her into applying for the position.",,
put out feelers,,"Before doing something, if you try to discover what other people think about it by making discreet enquiries, you put out feelers.",The politician put out feelers to test public reaction to his proposals.,,
remains to be seen,,"If something is still unknown or a decision has not yet been taken, it remains to be seen.","The construction of a new hospital has been voted, but the exact location remains to be seen.",,
in a quandary,,"If you are in a quandary, you find it difficult to decide what to do.",The job offered is less interesting but better paid.  I'm in a quandary about what to do.,,
shilly-shally,,"If you shillyshally, you hesitate a lot about something and have difficulty reaching a decision.",Come on!  Don't shillyshally - just make up your mind!,https://www.youtube.com/embed/DSepaS2onK4,
sleep on it,,"If you take time (until the next day) to think something over before making a decision, you sleep on it.",I suggest you sleep on it.  You can give me your decision  tomorrow.,,
toing and froing,"Someone who is toing and froing is either repeatedly going from one place to another and coming back, or is constantly changing their mind about something.",,"After months of toing and froing, a compromise was reached between the two parties.",https://youtu.be/RS_PF_FJ4jk?t=6s,
in two minds,,"If you are in two minds about something, you have difficulty deciding what to do.",I'm in two minds about whether or not to accept the offer.,,
up in the air,,"If something, such as a plan or decision, is up in the air, it has not been decided or settled yet.","I can't give you a definite answer yet ,  the project is still up in the air.",https://youtu.be/tDjWQcMswms?t=7s,
Word -above board,,"If a situation or business is described as above board, it is open, honest and legal.",There are not secret  negotiations.  Our dealings have always been above board.,https://youtu.be/NatVOIG56FI?t=1s,
barefaced liar,,"Someone who lies easily, with a total lack of shame, is a barefaced liar.",That barefaced liar stole my watch and said he'd found it!,,
bend the truth,,"If you bend the truth, you say something that is not entirely true.",,https://youtu.be/c-vs2IuKYbA?t=5s,
benefit of the doubt,,"If you give someone the benefit of the doubt, you choose to believe that the person is innocent, honest or telling the truth, because there is no evidence to the contrary.","Although he found it hard to believe Tom's explanation, the teacher decided to give him the benefit of the doubt.",https://youtu.be/f9gFuAiBzMU?t=13s,
break every rule,,"if you behave in a completely unacceptable way, you break every rule in the book.",Our competitors obtained the contract by breaking every rule in the book.,,
in cahoots with someone,,"If one person is in cahoots with another, they are working in close partnership, usually conspiring to do something dishonest.",There was a rumour that the Mayor was in cahoots with a chain of supermarkets.,,
cards on the table,,"If you put your cards on the table, you speak honestly and openly about your feelings and intention",Let's clean the air and put our cards on the table.,https://youtu.be/vgfepIvSpyI?t=1s,
cook the books,,"A person who cooks the books is one who changes the facts or figures in the financial accounts, often in order to steal money.",The actor discovered after a while that his agent was cooking the books.,https://youtu.be/jEL-YmKXAUo?t=2s,
economical with the truth,,"To say that a person is economical with the truth means that, without actually lying, they omit important facts or give incomplete information.",The politician was accused of being economical with the truth.,https://youtu.be/i1LS4FPsye8?t=2s,
fair and square,,"If something is obtained or won fair and square, it is done in an honest and open manner, the rules are respected and there is no cheating or lying.",Gavin won the competition fair and square - there was no doubt about the result.,https://youtu.be/5xcKliNYNys?t=2s,
fall off the back of a lorry,,Goods that have fallen off the back of a lorry are stolen goods.,"Judging by the price of that camera, it must have fallen off the back of a lorry!",https://youtu.be/3c9Vxey9Ijg?t=2s,
fly-by-night,,"A fly-by-night person, business or venture is considered untrustworthy because they operate briefly and disappear overnight",bought it in one of those fly-by-night stores and now I can't exchange it.  The place has closed down,https://youtu.be/clF7xX-nQoU?t=15s,
grease someone's palm,,"If you accuse someone of greasing somebody's palm, you are accusing them of giving money to someone in order to gain an unfair advantage or to obtain something they want.","In some countries, it is common practice to grease government officials' palms.",https://www.youtube.com/embed/wkvwxgunCGg,
Be after,,To try to obtain or find,What's he after ? Is he looking for proof?,https://translate.google.com/?sl=pt#en/pt/be%20after,
Be against,,Be opposed to I must say I'm against the idea.,,https://translate.google.com/?sl=pt#en/pt/be%20against,
Be along,,Arrive,Jack will be along soon. He's on his way.,https://translate.google.com/?sl=pt#en/pt/be%20along,
Be away,,Be elsewhere,She is away today. She has gone to London.,https://translate.google.com/?sl=pt#en/pt/be%20away,
Be down,,Be depressed or sad.,The news is bad so John is a bit down today.,https://translate.google.com/?sl=pt#en/pt/be%20down,
Be down,Decrease,,Oil prices were down today.,https://translate.google.com/?sl=pt#en/pt/be%20down,
Be down on,,"Disapprove of, dislike",Why is Charlie so down on the new recruit?,https://translate.google.com/?sl=pt#en/pt/be%20down%20on,
Be down with,,Be ill or have caught a disease.,My mother is down with a bad  cold.,https://translate.google.com/?sl=pt#en/pt/be%20down%20with,
Be in,,Be present (at work/at home),I'll be in all day so you can call me anytime.,https://translate.google.com/?sl=pt#en/pt/be%20in,
Be in for,,Have reason to expect something.,I think we are in for snow today.,https://translate.google.com/?sl=pt#en/pt/be%20in%20for,
Be in on,,Be involved with or participate in something.,Alex is in on the project too.,https://translate.google.com/#en/pt/be%20in%20on,
Be into,,Be  interested or involved in something,He's into sports and she's into  politics.,https://translate.google.com/#pt/en/be%20into,
Be off,,Leave to go somewhere,I'm off!  I've got a plane to catch.,https://translate.google.com/#pt/en/be%20off,
Be on,,Be functioning,The television is on,https://translate.google.com/#pt/en/be%20on,
Be on,,Take medication or drugs,The driver was on drugs at the time of the accident.,https://translate.google.com/#pt/en/be%20on,
Be on about,,"Mean, try to say",What are you on about? I don't understand.,https://translate.google.com/#en/bn/be%20on%20about,
Be on to,,Make a discovery,My colleague is excited. He must be on to something,https://translate.google.com/#pt/en/be%20onto,
Be out,,Absent from home or work,Where's Peter? He's out today.,https://translate.google.com/#en/bn/be%20out,
Be out of,,Have no more left,We're out of coffee I'm afraid.,https://translate.google.com/#en/bn/be%20out%20off,
Be out to,,"Try to achieve , be determined",He's out to win the match.,https://translate.google.com/#en/bn/be%20out%20to,
Be up,,Awake and out of bed,Tom was up at the crack of dawn!,https://translate.google.com/#en/bn/be%20up,
Be up,,Increase,The interest rates are up again.,https://translate.google.com/#en/bn/be%20up,
Be up to,,"Misbehave, do wrong",What are those kids up to?,https://translate.google.com/#en/bn/be%20up%20to,
Be up to,,Be somebody's responsibility,It's up to the government to find a solution.,https://translate.google.com/#en/bn/be%20up%20to,
Break away,,Escape from captivity,The horses were enclosed in a paddock but a few of them managed to break away.,https://translate.google.com/#en/bn/break%20away,
Break away from,,Leave and become independent,He broke away from the organisation and set up his own agency.,https://www.youtube.com/embed/JsQM48mbsLg,
Break down,,Go out of order or cease to function,David's car broke down on the way to the airport.,https://www.youtube.com/embed/IvTKiiNiwMw,
Break down,,Lose control of one's emotions.,The parents broke down when they heard the bad news.,https://www.youtube.com/embed/IvTKiiNiwMw,
Break (something) down,,Divide into small or simpler parts,The lesson will be easier to learn if you break it down into small sections.,,
Break free,,Detach from a physical hold.,Eva managed to break free from her attacker's grasp.,,
Break in,,Enter by force in order to steal something.,Bob saw a man outside trying to break in.,,
Break into,,Enter a place by force in order to steal something.,The burglars broke into the house after midnight.,,
Break in on,,Interrupt unexpectedly,An operator suddenly broke in on our telephone conversation.,,
Break off,,Stop or discontinue,It was decided to break off diplomatic relations with that country.,https://youtu.be/UDDjcYQTxuY?t=6s,
Break off,,Stop speaking,She broke off in the middle of a sentence.,https://youtu.be/UDDjcYQTxuY?t=6s,
Break out,,Start suddenly,Rioting broke out as a result of the strike.,https://youtu.be/BgECgZjjGho,
Break out,,Start suddenly,Rioting broke out as a result of the strike.,https://youtu.be/BgECgZjjGho,
Break out of,,Escape from a place by force,Three prisoners broke out of jail.,,
Break through,,Force a way through something,The car broke through the barrier.,https://www.youtube.com/embed/7UxFocavNTg,
Break up,,"Come to an end (marriage, relationship...)",After her marriage broke up Emma went to live in London.,https://youtu.be/xScIg32waFQ?t=6s,
Break up,,Separate into small pieces,Jack had to use a fork to break up the soil.,https://youtu.be/xScIg32waFQ?t=6s,
Break with,,Discontinue something or do something in a different way.,He broke with tradition and invented new methods.,,
Call after,,Give a newborn baby the same name as someone else.,The baby is called after his grandfather.,,
Call at,,"Stop somewhere briefly (ship, train, etc.)",The train calls at Oxbridge and Glenville.,,
Call away,,Ask someone to leave a place.,The doctor was called away for an emergency.,,
Call back,,Return a phone call.,I'll call you back as soon as possible.,https://youtu.be/aCD-mMDDO3k?t=7s,
Call for,,Go somewhere to get someone.,Tom said he would call for her at 8 o'clock.,,
Call for,,Demand that something be done.,The authorities called for an investigation.,,
Call for,,Be required or necessary,The job calls for excellent computer skills.,,
Call for,,Be an appropriate occasion.,The good news calls for champagne!,,
Arrogate,,to take something without having the right to do so,They arrogate to themselves the power to punish people.,https://www.youtube.com/embed/cot-Y1OlrPA,
Artery,,one of the thick tubes that carry blood from the heart to other parts of the body,Hardening of the coronary arteries can lead to a heart attack.,https://www.youtube.com/embed/8CUQyeqKu1Q,
Artisan,,someone who does skilled work with their hands,,https://www.youtube.com/embed/QSOBGBxmr3I,
Aryan,,"relating to white people from northern Europe, especially those with pale hair and blue eyes, who were believed by the Nazis to be better than members of all other racesMy Donald was an Aryan man.",,https://youtu.be/NUD24M4uFGc?t=6s,
Ascend the throne,,to become queen or king,After James Lora become the ascend the Throne,,
Assail,,to attack someone violently or criticize someone strongly,The victim had been assailed with repeated blows to the head and body.,https://www.youtube.com/embed/Po9t3EOGYSs,
assailant,,a person who attacks another person:,Can you describe your assailant?,https://www.youtube.com/embed/X_5SzLzxhzE,
Assassin,,"someone who kills a famous or important person, usually for political reasons or in exchange for money",John Lennon's assassin was Mark Chapman.,https://www.youtube.com/embed/lRbuhHOZC8Q,
Assemblage,,a collection of things or a group of people or animals,A varied assemblage of birds was probing the mud for food.,https://www.youtube.com/embed/iV1Roocq8wU,
Assiduous,,"showing hard work, care, and attention to detail",The government has been assiduous in the fight against inflation.,https://www.youtube.com/embed/Z7lYkjsPdgI,
Assimilate,,"to become part of a group, country, society, etc., or to make someone or something become part of a group, country, society, etc.",The European Union should remain flexible enough to assimilate more countries quickly,https://www.youtube.com/embed/yxzC4negsU0,
Assorted,,consisting of various types mixed together,a case of assorted wines,,
Assuage,,o make unpleasant feelings less strong:,The government has tried to assuage the public's fears,,
Astound,,to surprise or shock someone very much,The news astounded me.,https://youtu.be/kpmRfsGRHbE?t=6s,
Astral,,relating to the stars or outer space,,https://www.youtube.com/embed/HQQDkTKTgCI,
Astute,,able to understand a situation quickly and see how to take advantage of it,an astute investor/businesswoman,https://www.youtube.com/embed/bLaqmVnfY1I,
Asunder,,into forcefully separated pieces,Their lives were torn asunder by the tragedy.,https://youtu.be/GW6cvifITHE,
Asylum,,"protection or safety, especially that given by a government to people who have been forced to leave their own countries for their safety or because of war:",to seek/apply for political asylum,https://www.youtube.com/embed/xjJ04pcO_J8,
Atrocity,,"an extremely cruel, violent, or shocking act:",They are on trial for committing atrocities against the civilian population.,https://youtu.be/nainu6-DNFw?t=15s,
Attach something to something,,o show how one thing is connected to another,Researchers have tied the increase in asthma to certain types of pollution.,,
Attach to somebody,,"If you say that a particular quality attaches to someone or something, you mean that they have that quality:",Don't worry - it was an accident and no blame attaches to either of you.,,
Attach yourself to somebody,,"If you attach yourself to a person or group, you join him, her, or it, usually for a limited period of time:","Being on his own, he attached himself to a noisy group at the bar.",,
attain,,to reach or succeed in getting something:,He has attained the highest grade in his music exams.,https://www.youtube.com/embed/3VGjqY3SVYY,
Catch someone's attention,,to interest someone,Most of the textbooks we looked at were too dull to capture students' attention.,,
Pay attention to something,,o give money to someone for something you want to buy or for services provided,How much did you pay for the tickets?,,
The center of attention,,Someone whom everyone else notices or watches,He likes being the center of attention.,,
Turn your attention to somebody,,to start to think about or consider a particular thing or person:,Many countries are starting to turn their attention to new forms of energy.,,
Attenuate,,"to make something smaller, thinner, or weaker",Radiation from the sun is attenuated by the earth's atmosphere.,https://youtu.be/toNoTYNd7Po?t=6s,
Attic,,"The space or room at the top of a building, under the roof, often used for storing things",I've got boxes of old clothes in the attic.,https://youtu.be/WUKWFVUkUL4?t=6s,
Attest,,to show something or to say or prove that something is true,Thousands of people came out onto the streets to attest their support for the democratic opposition party.,https://www.youtube.com/embed/ZuQDjFRcOgk,
Attire,,"clothes, especially of a particular or formal type:",hardly think jeans are appropriate attire for a wedding,https://youtu.be/z7CAcr4PBbU?t=6s,
Strike an attitude,,to hold your body in a way that suggests a particular quality or feeling,He struck an attitude of offended dignity and marched out of the room,,
Attribute sth to sb,,to think that someone or something has a particular quality or feature,I wouldn't dream of attributing such a lack of judgment to you,,
Attrition,,"gradually making something weaker and destroying it, especially the strength or confidence of an enemy by repeatedly attacking it:",Terrorist groups and the government have been engaged in a costly war of attrition since 2008.,https://www.youtube.com/embed/7q_a13DhqMo,
Attuned to,,especially able to understand or deal with,People in New York seem attuned to fashion.,https://www.youtube.com/embed/STEfBFDhMdg,
Atypical,,different from all others of the same type,The sociable behavior of lions is considered atypical of the cat family,https://www.youtube.com/embed/xNd6vgPOIrU,
auburn (colour),,(of hair) reddish-brown in colourShe has auburn hair,,https://youtu.be/f6CsX-A-Xe8?t=2s,
Audacious,,showing a willingness to take risks,He described the plan as ambitious and audacious.,https://youtu.be/xIufwh4O3uM?t=1s,
Audacity,,courage or confidence of a kind that other people find shocking or rude,It took a lot of audacity to stand up and criticize the chairman,,
,https://youtu.be/lNz0HTQ1u3Y?t=3s,audible,,able to be heard,The lecturer spoke so quietly that he was scarcely audible at the back of the hall
Augment,,to increase the size or value of something by adding something to it,He would have to find work to augment his income.,https://www.youtube.com/embed/kgqJCkIx-fs,
Augur,,to be a sign of especially good or bad things in the future,The company's sales figures for the first six months augur well for the rest of the year,https://www.youtube.com/embed/wOPpUYIk6OU,
Under the auspices of sb/ sth,,"with the protection or support of someone or something, especially an organization",Financial aid is being provided to the country under the auspices of the International Monetary Fund.,https://youtu.be/sD2-jOZW3N4?t=5s,
Auspicious,,to give money to someone for something you want to buy or for services provided,How much did you pay for the tickets?,https://www.youtube.com/embed/JK3B0eBoryA,
Have something on good authority,,to be able to believe a piece of information because you trust the person who told you it,I have it on good authority that she's getting married.,,
Auxiliary (a person/ soldier),,"giving help or support, especially to a more important person or thing",,,
auxiliary staff/nurses,https://www.youtube.com/embed/lmQeDqtFyWk,,,,
Avail yourself of something,,to use something for your own benefit:,Voters should avail themselves of all the tools available to get information about the candidates.,,
Avalanche,,"a large amount of ice, snow, and rock falling quickly down the side of a mountain",We were swamped by an avalanche of letters/phone calls/complaints.,https://youtu.be/t4k6jTxxK3c?t=2s,
Avenge,,to do harm to or punish the person responsible for something bad done to you or your family or friends in order to achieve a fair situation,He swore he would avenge his brother's death.,,
Averse,,strongly disliking or opposed to,Few people are averse to the idea of a free holiday.,https://youtu.be/Q_2JX5HM92E?t=2s,
Be numbed,anesthesia,"unable to feel because of cold, shock",A face benumbed with cold,,
Bequeath,beneficiary,to arrange for money or property to be given to somebody after your death:,Her father bequeathed her the family fortune in his will.,https://youtu.be/gQCZAutzB_k?t=6s,
Bequest,bequeath,"the money or property belonging to someone that they say that, after their death, they wish to be given to other people","Her will included small bequests to her family, while most of her fortune went to charity.",https://youtu.be/djb4812S5aw?t=1s,
Berate,,To criticize or speak in an angry manner to someone,"As he left the meeting, he was berated by angry demonstrators.",https://www.youtube.com/embed/CUCK2cSmBdU,
Bereaved,grief,having a close relation or friend who has recently died,a bereaved widow,https://www.youtube.com/embed/qIDqQP-rRWA,
Bereavement,The death of a close relation or friend,epitaph,She has recently suffered a bereavement.,https://youtu.be/VE_zrlvob9k?t=3s,
Bereft,bankruptcy,not having something or feeling great loss,"Alone now and almost penniless, he was bereft of hope.",https://www.youtube.com/embed/oz4urf7eKtE,
Beret,"a round, flat hat made of soft material",balaclava,Mr. John has a nice beret.,https://youtu.be/-bNbAs25bOU,
Berserk,aggrieved,very angry or out of control,My mother will go berserk (= be extremely angry) when she finds out I've ruined her favourite dress.,https://youtu.be/lxuehSuLWS4?t=7s,
Berth,"a bed in a boat, train, etc., or a place for a ship or boat to stay in a port:",abaft,She booked a berth on the ferry from Palermo to Naples.,https://www.youtube.com/embed/Iqc-D3OEJ9o,
Beseech,beg,to ask for something in a way that shows you need it very much:,"Stay a little longer, I beseech you!",https://youtu.be/orutzVku8d8?t=2s,
Beset,Enclosing,"having a lot of trouble with something, or having to deal with a lot of something that causes problems:","With the amount of traffic nowadays, even a trip across town is beset by/with dangers.",https://youtu.be/XPqKzxCa1K0,
Besiege,aggressor,"to surround a place, especially with an army, to prevent people or supplies getting in or out",The town had been besieged for two months but still resisted the aggressors.,https://youtu.be/a4j0LrkFVuY?t=4s,
Besmeared,Dirty & untidy,"covered with marks from dirt, oil, etc",His face was besmeared with chocolate.,https://youtu.be/D4umbUeCpMk?t=3s,
Besmirch,Damaging reputation,to say bad things about someone to influence other people's opinion of them,"His accusations were false, but they served to besmirch her reputation.",https://www.youtube.com/embed/_6o4upYI4MM,
Besotted,Loving and in love,completely in love with someone and always thinking of them :,He was so completely besotted with her that he couldn't see how badly she treated him.,https://www.youtube.com/embed/lcJi7mHZkWM,
Be spattered,Dirty & untidy,covered with spots of liquid:,His coat was bespattered with mud.,,
Bespeak,Showing and demonstrating,to suggest or show,His letter bespeaks his willingness to help.,https://www.youtube.com/embed/PeyZdVEFbAc,
Be spectacled,"Eyesight, glasses & lenses",wearing glasses:,,,
Be spoke,,Style & appearance of clothes,a bespoke suit,,
Be on your best behavior,Behaving well,to behave extremely well and be very polite on a particular occasion:,I'd just met his parents for the first time so I was on my best behavior.,,
Be the best thing since/ bread,Good and excellent things,to be an excellent person or thing,,,
May the best person win,Good luck and bad luck,"said before a race or competition, meaning that you want the person who is the fastest, strongest, or most skilled to win or succeed",,,
Put your best foot forward,,Trying and making an effort,,,
With the best will in the world,connecting words which express a contrast,,"With the best will in the world, I can't employ him in the shop unless I can trust him.",,
Do as you think best,To choose the action that you judge to be most suitable:,Wise and sensibleDo,"you think I should take this job or try for another?"" ""You should do as you think best.",,
at best,,even if the best possible result happens:,"If he drops the course now, at best he'll get an incomplete, and he could fail.",,
To the best of your ability,,as well as one can.,Conrad must do his job to the best of his abilities,,
To the best of my knowledge,,"used for saying that you think something is true, but you are not completely certain","To the best of my knowledge, the President has not asked for a full report on this.",,
At the best of time,"Good, better and best",when everything is going well,Our car is slow even at the best of times.,,
The best of a bad bunch,"Quite good, or not very good",,the best of a bad bunch/lot,,
Best-before date,the day or month before which food or drink should be eaten or drunk,Edible & inedible,,,
Bestir yourself,Acting and acts,to become active after a period of rest:,I'd better bestir myself - there's work to be done.,,
Bestow,"Giving, providing and supplying",to give something as an honour or present,The George Cross is a decoration that is bestowed upon/on British civilians for acts of great bravery.,https://www.youtube.com/embed/P2g-fvSvUCI,
Bestrew,Covering and adding layers,"to lie covering a surface, or to cover a surface with things that are far apart and in no particular arrangement:","During the festival, the city streets are bestrewn with flowers.",https://youtu.be/EcTAaJkkVNE?t=2s,
Bestride,Boarding and alighting from modes of transport,to sit or stand with a leg on either side of an object or animal,He bestrode the chair as though it were a horse.,https://www.youtube.com/embed/kfUk5VP8zf0,
You can bet your life,Certainty,used to say that you are completely certain that something is true or will happe,,,
Be a fair bet,Possible and probable,to be something that is likely to happen:,It's a fair bet (that) the government will increase taxes in the coming term.,,
Be a good bet,Useful or advantageous,"to be something that would be useful, clever, or enjoyable to do:",Putting your savings in a high-interest account is a good bet.,,
Be a safe bet,Possible and probable,to be something that you are certain will happen,It's a safe bet (that) Martin will be the last to arrive,,
Be your best bet,Taking and choosing,to be the best decision or choice,Your best bet would be to take a bus to the airport.,,
Betel,Common plants,an Asian plant that has leaves and red nuts that act as a drug when chewed,,https://youtu.be/x6NoXQDrbm4?t=4s,
Betoken,"Typifying, illustrating and exemplifying",to be a sign of something,,,
Betroth,Weddings,to cause someone to promise formally to marry someone,She was betrothed to her cousin at an early age.,https://www.youtube.com/embed/jn7PuSbY61U,
Better luck next time,Sympathy & compassion,said to tell someone that you hope they will succeed when they try again,I'm sorry to hear that you failed your driving test. Better luck next time!,,
Better safe than sorry,Cautious and vigilant,said when you think it is best not to take risks even when it seems boring or difficult to be careful,,,
Better than the devil you know,,"aid when you think it is wiser to deal with someone or something familiar, although you do not like him, her, or it, than to deal with someone or something you do not know that might be worse",,,
Go one better,Surpassing in quality or number,to do something that is more advanced or more generous than someone else,"I gave her a card, but my brother went one better and bought her a present.",,
Be no better than sth,"If you say that someone is no better than a person who is unpleasant or unkind, you mean that they have behaved in a similar way to this type of person",Similar and the same,People who don't pay for a bus ticket are no better than common criminals.,,
For better or worse,Ways of achieving things,"If you do something for better or (for) worse, you accept the bad results of the action as well as the good ones:","Anyway, for better or for worse, I followed her advice.",,
Cling,,stay close,Closeness in distance and time,https://www.youtube.com/embed/I1hyqxC7ybY,
Cling (on) to sth,,Keeping and storing things,He clung on to power for another ten years.,,
cling to sth,,Wanting things,She clings to the hope that her husband will come back to her.,,
cling film,,Preserving & storing food,I've put some cling film over the salad.,https://www.youtube.com/embed/c52JbkoNaTs,
Hold a clinic,,treating & caring for people,Dr Clark holds a clinic on Tuesday mornings.,,
Clinical,,,She seems to have a very clinical attitude towards her children.,https://www.youtube.com/embed/Vy2Smk9K_6I,
Clinician,,doctors & health workers generally,,https://www.youtube.com/embed/xj0jepWOo2A,
Clink,,,https://www.youtube.com/embed/QGpQeuAK4W8,,
Clink,,Bastille,Everyone always said Joe would end up in (the) clink.,https://www.youtube.com/embed/lABB6IkzwBI,
Clinker,,Products of fire,,https://www.youtube.com/embed/SFJwmrLROtQ,Clip
,,,"We set off at a good clip, but we gradually slowed down.",https://www.youtube.com/embed/Nf1lGh8u6Lc,
Clip- Film/ Television,Cinema,,I've seen a clip from the movie.,,
Clip- speed,,Speed of motion,"We set off at a good clip, but we gradually slowed down.",,
Clip- gun part,,Parts of guns,,,
Clip- cut,,Cutting and stabbing,That hedge needs a clip.,,
Clip- hit,,Hitting and beating,a clip round/on the ear,,
Clip-clop,,Animal (non-human) sounds,the clip-clop of horses coming up the road,https://youtu.be/U01Uz60dD5g?t=3s,
Clippers,,Toiletry & perfumes,,https://www.youtube.com/embed/AcMGTEhH14w,
Clipping- article related,,Words meaning small pieces and amounts,A friend sent me a newspaper clipping about someone we were at school with.,https://youtu.be/vVhkn1UwJEw,
Clique,,Groups of people,Our golf club is run by a very unfriendly clique (of people).,https://youtu.be/aH5vUxqidG8?t=1s,
